Site,scode,rep,year,seasn,occasion,spid,species,indiv
8,s8,8d,2012,S,S12,140,Camponotus irredux,4
8,s8,8d,2009,J,J09,40,Crematogaster un03,4
8,s8,8d,2009,J,J09,92,Pyramica un01,1
8,s8,8d,2009,J,J09,125,Tetramorium un12,17
8,s8,8c,2009,J,J09,40,Crematogaster un03,2
8,s8,8c,2009,J,J09,82,Pheidole sp. 1,18
8,s8,8b,2009,J,J09,75,Pachycondyla peringueyi,1
8,s8,8b,2009,J,J09,82,Pheidole sp. 1,31
8,s8,8b,2009,J,J09,84,Pheidole sp. 7,24
8,s8,8b,2009,J,J09,93,Solenopsis sp. 1,21
8,s8,8a,2009,J,J09,82,Pheidole sp. 1,3
8,s8,8a,2009,J,J09,97,Strumigenys sp. 1,1
7,s7,7d,2009,J,J09,71,Monomorium un01,2
7,s7,7c,2009,J,J09,71,Monomorium un01,2
7,s7,7c,2009,J,J09,112,Tetramorium sp. 14,4
7,s7,7c,2009,J,J09,116,Tetramorium sp. 28,2
7,s7,7c,2009,J,J09,102,Tetramorium frenchi,5
7,s7,7b,2009,J,J09,111,Tetramorium sp. 10,1
7,s7,7b,2009,J,J09,112,Tetramorium sp. 14,1
7,s7,7b,2009,J,J09,102,Tetramorium frenchi,16
7,s7,7a,2009,J,J09,93,Solenopsis sp. 1,3
7,s7,7a,2009,J,J09,112,Tetramorium sp. 14,4
7,s7,7a,2009,J,J09,102,Tetramorium frenchi,1
7,s7,7a,2009,J,J09,103,Tetramorium fridgidum,3
6,s6,6d,2009,J,J09,71,Monomorium un01,5
6,s6,6d,2009,J,J09,93,Solenopsis sp. 1,19
6,s6,6d,2009,J,J09,114,Tetramorium sp. 25,8
6,s6,6d,2009,J,J09,119,Tetramorium sp. 40,1
6,s6,6d,2009,J,J09,125,Tetramorium un12,1
6,s6,6d,2009,J,J09,109,Tetramorium sericeiventre,5
6,s6,6c,2009,J,J09,91,Pristomyrmex fossulatus,2
6,s6,6c,2009,J,J09,93,Solenopsis sp. 1,13
6,s6,6c,2009,J,J09,101,Tetramorium bothae,3
6,s6,6c,2009,J,J09,103,Tetramorium fridgidum,4
6,s6,6b,2009,J,J09,39,Crematogaster un02,41
6,s6,6b,2009,J,J09,71,Monomorium un01,2
6,s6,6b,2009,J,J09,122,Tetramorium sp. 5,7
6,s6,6b,2009,J,J09,114,Tetramorium sp. 25,7
6,s6,6b,2009,J,J09,103,Tetramorium fridgidum,4
6,s6,6b,2009,J,J09,109,Tetramorium sericeiventre,11
6,s6,6a,2009,J,J09,39,Crematogaster un02,5
6,s6,6a,2009,J,J09,41,Crematogaster un04,1
6,s6,6a,2009,J,J09,71,Monomorium un01,7
6,s6,6a,2009,J,J09,93,Solenopsis sp. 1,20
6,s6,6a,2009,J,J09,114,Tetramorium sp. 25,5
6,s6,6a,2009,J,J09,101,Tetramorium bothae,4
5,s5,5d,2009,J,J09,37,Crematogaster natalensis,1
5,s5,5d,2009,J,J09,71,Monomorium un01,18
